Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,JPM,V,UNH,PG,XOM,HD,CVX,ABBV,PFE,KO,PEP,COST,TMO,AVGO
2015-01-02,24.21489715576172,39.767677307128906,26.260456085205078,15.425999641418457,0.48298531770706177,77.90579223632812,46.511131286621094,61.2147331237793,83.8287582397461,66.04936981201172,57.53341293334961,79.37124633789062,69.52938079833984,41.7554817199707,18.38100814819336,29.580018997192383,67.283447265625,113.98028564453125,123.79855346679688,7.560340404510498
2015-01-05,23.532718658447266,39.40199661254883,25.760095596313477,15.10949993133545,0.4748275876045227,76.65454864501953,45.067195892333984,59.863502502441406,82.4479751586914,65.7353515625,55.95919418334961,77.70602416992188,66.75019836425781,40.96967315673828,18.281280517578125,29.580018997192383,66.77762603759766,112.6844482421875,122.09793853759766,7.439482688903809
2015-01-06,23.53493309020996,38.82368469238281,25.124345779418945,14.76449966430664,0.4604315459728241,75.62176513671875,43.898651123046875,59.477760314941406,82.2815933227539,65.43592071533203,55.66170883178711,77.4681396484375,66.71931457519531,40.76687240600586,18.43381690979004,29.80463409423828,66.27175903320312,114.17347717285156,120.95773315429688,7.270281791687012
2015-01-07,23.864946365356445,39.316951751708984,25.050458908081055,14.920999526977539,0.459231972694397,75.62176513671875,43.965633392333984,60.2746696472168,83.12173461914062,65.77919006347656,56.2257194519043,80.12329864501953,66.66371154785156,42.41453552246094,18.686086654663086,30.176664352416992,68.20962524414062,116.16155242919922,124.58125305175781,7.466675758361816
2015-01-08,24.781888961791992,40.47358703613281,25.137737274169922,15.02299976348877,0.4765070378780365,77.63768005371094,44.948097229003906,61.08308792114258,87.08941650390625,66.53137969970703,57.161563873291016,81.89595794677734,68.189208984375,42.85813522338867,19.06744384765625,30.54167366027832,69.44928741455078,117.15962219238281,125.87604522705078,7.8398213386535645
2015-01-09,24.808473587036133,40.13338088989258,24.830774307250977,14.846500396728516,0.4784264862537384,77.20072937011719,44.16659927368164,60.17764663696289,86.2742691040039,65.91060638427734,57.08098602294922,80.49166870117188,66.83049011230469,41.685760498046875,19.155447006225586,30.20475196838379,68.97908020019531,115.35667419433594,125.37358856201172,7.923664569854736
2015-01-12,24.197175979614258,39.6316032409668,24.649274826049805,14.570500373840332,0.4724282920360565,76.18781280517578,43.787017822265625,60.05984115600586,85.30106353759766,65.66964721679688,55.9839973449707,80.1309814453125,65.39146423339844,41.6730842590332,19.225845336914062,29.93098258972168,68.69412231445312,114.71277618408203,124.16576385498047,7.792233467102051
2015-01-13,24.412015914916992,39.42750930786133,24.88433265686035,14.737000465393066,0.4717084467411041,75.91967010498047,43.794456481933594,60.23538589477539,85.73359680175781,65.9471435546875,55.77945327758789,79.60148620605469,64.3539047241211,40.47277069091797,19.03223991394043,29.923961639404297,68.64421844482422,113.56178283691406,124.01116180419922,7.748420715332031
2015-01-14,24.318986892700195,39.087318420410156,25.089136123657227,14.66349983215332,0.4736279249191284,75.75086212158203,42.283538818359375,59.029659271240234,85.94986724853516,65.72075653076172,55.61832809448242,78.7650146484375,64.16861724853516,40.67068862915039,19.055707931518555,29.87483787536621,68.8722152709961,112.12908172607422,121.94332885742188,7.809603691101074
2015-01-15,23.658967971801758,38.67909622192383,24.993927001953125,14.34749984741211,0.47026878595352173,73.53633117675781,40.92890930175781,58.46836853027344,86.8897933959961,65.62581634521484,55.13490676879883,77.51417541503906,63.409000396728516,40.15352249145508,19.00876808166504,29.748476028442383,68.8722152709961,112.12908172607422,119.9431381225586,7.6532464027404785
2015-01-16,23.475135803222656,39.3254508972168,25.31378173828125,14.536999702453613,0.47890642285346985,74.65849304199219,41.62853240966797,58.888763427734375,87.97943878173828,66.64094543457031,56.47361373901367,79.90076446533203,64.92208862304688,41.20701217651367,19.243446350097656,29.853782653808594,69.3139419555664,112.45902252197266,121.06401062011719,7.842087745666504
2015-01-20,24.07978630065918,39.4530029296875,25.287994384765625,14.472000122070312,0.48034608364105225,75.71112060546875,41.46479797363281,59.325321197509766,87.85466003417969,66.59711456298828,56.455020904541016,79.2331314086914,65.75586700439453,40.51106643676758,19.419458389282227,30.29598617553711,69.47068786621094,112.18544006347656,121.01570892333984,7.921398162841797
2015-01-21,24.263622283935547,39.05328369140625,25.80621337890625,14.862500190734863,0.4870641231536865,76.2076644897461,41.59877014160156,59.42695999145508,90.93234252929688,66.73246765136719,56.93842697143555,79.44798278808594,66.79960632324219,40.032203674316406,19.149580001831055,30.436391830444336,69.39228057861328,111.99224090576172,121.13165283203125,7.959921836853027
2015-01-22,24.894847869873047,40.082366943359375,26.644779205322266,15.515999794006348,0.495461642742157,77.1113510131836,42.864078521728516,59.50086212158203,94.70039367675781,67.38705444335938,57.55820083618164,81.39717864990234,67.26897430419922,40.21098709106445,19.249317169189453,30.731210708618164,70.46096801757812,113.70665740966797,122.71637725830078,7.9463276863098145
2015-01-23,25.023303985595703,40.124881744384766,26.875375747680664,15.619500160217285,0.4969014823436737,77.29010009765625,42.186763763427734,59.66024398803711,93.16154479980469,66.25437927246094,56.331077575683594,80.85999298095703,65.99053955078125,39.859825134277344,19.03810691833496,30.401290893554688,70.19734954833984,114.33443450927734,120.65821075439453,8.080778121948242
2015-01-26,25.049890518188477,39.98029327392578,26.61602020263672,15.482999801635742,0.4947420656681061,76.96239471435547,42.25375747680664,59.25371551513672,92.837158203125,65.88663482666016,56.870269775390625,81.61971282958984,67.24427795410156,40.11522674560547,19.243446350097656,30.183683395385742,70.31138610839844,115.02665710449219,121.4022216796875,8.06189250946045
2015-01-27,24.172809600830078,36.28078079223633,25.845884323120117,15.337499618530273,0.4709887206554413,75.25432586669922,41.82950210571289,57.97407531738281,91.50630187988281,63.613895416259766,56.368263244628906,80.69884490966797,66.86138153076172,40.28760528564453,19.126110076904297,29.755496978759766,68.90784454345703,113.48126983642578,120.66783142089844,7.915355205535889
2015-01-28,25.53937339782715,35.03061294555664,25.411476135253906,15.195500373840332,0.46331074833869934,75.71112060546875,40.75027847290039,56.90462112426758,90.21698760986328,62.628326416015625,54.50894546508789,80.37652587890625,64.05126953125,39.4895133972168,18.744760513305664,29.425594329833984,68.19538879394531,112.37859344482422,120.14608764648438,7.93121862411499
2015-01-29,26.334501266479492,35.727989196777344,25.451147079467773,15.58899974822998,0.47458764910697937,77.45892333984375,41.43503189086914,57.28343200683594,90.9905776977539,63.01080322265625,54.27961730957031,82.58662414550781,63.61279296875,40.30036544799805,18.674358367919922,29.55194091796875,68.41625213623047,113.1995620727539,123.64397430419922,8.046789169311523
2015-01-30,25.949113845825195,34.35873794555664,26.657180786132812,17.726499557495117,0.4606713652610779,75.38341522216797,40.47488021850586,58.879520416259766,88.37871551513672,61.99579620361328,54.180458068847656,80.1309814453125,63.322505950927734,38.53181076049805,18.334074020385742,28.89912223815918,66.81322479248047,115.09103393554688,120.98670959472656,7.771082401275635
2015-02-02,26.27469825744629,35.107154846191406,26.391870498657227,18.223499298095703,0.470748633146286,74.46980285644531,41.28617858886719,58.97883605957031,89.2437744140625,62.60626983642578,55.51917266845703,80.13864135742188,65.50263977050781,38.755271911621094,18.56875228881836,29.193941116333008,67.91755676269531,117.51374053955078,121.64376831054688,7.736337661743164
2015-02-03,26.27912712097168,35.37929153442383,26.446420669555664,18.177499771118164,0.4825054407119751,74.87696838378906,42.21653366088867,60.006710052490234,89.67632293701172,63.21672821044922,57.17396545410156,82.2950210571289,67.64572143554688,39.36183166503906,18.785823822021484,29.222017288208008,68.53736114501953,123.75164031982422,123.03521728515625,7.795251369476318
2015-02-04,26.480680465698242,35.583396911621094,26.089370727539062,18.237499237060547,0.483705073595047,75.10536193847656,41.963470458984375,61.18470764160156,89.76781463623047,63.099037170410156,56.68434143066406,83.19286346435547,66.91693115234375,36.335453033447266,18.981143951416016,29.25711441040039,68.82233428955078,125.498291015625,122.08824920654297,7.916110515594482
2015-02-05,26.669681549072266,36.1021842956543,26.27434539794922,18.694499969482422,0.4916228652000427,75.08550262451172,42.25375747680664,62.780792236328125,90.51646423339844,63.76836395263672,57.242130279541016,83.63794708251953,67.50982666015625,37.02500915527344,19.525657653808594,29.33432960510254,68.8294677734375,123.97647857666016,122.7550048828125,8.02186107635498
2015-02-06,26.445104598999023,36.06816864013672,26.47518539428711,18.714000701904297,0.4894634783267975,73.95340728759766,43.087364196777344,61.76909255981445,89.50162506103516,62.966651916503906,57.135982513427734,83.67633819580078,67.69512176513672,36.329078674316406,19.632198333740234,29.095672607421875,68.90071105957031,123.65222930908203,120.5905532836914,7.91157865524292
2015-02-09,26.620758056640625,36.02564239501953,26.247072219848633,18.527999877929688,0.48898378014564514,73.92361450195312,43.03525924682617,61.316375732421875,88.57835388183594,62.55477523803711,57.173439025878906,83.1391372680664,68.20157623291016,35.42243957519531,19.573013305664062,28.941246032714844,68.37348937988281,122.6876220703125,119.23778533935547,7.722741603851318
2015-02-10,27.13218879699707,36.22976303100586,26.786609649658203,18.649999618530273,0.5026599168777466,74.6684341430664,43.511619567871094,61.106163024902344,90.6412124633789,62.80484390258789,56.83002471923828,84.92715454101562,68.04716491699219,36.32268142700195,20.21222686767578,29.762529373168945,69.81262969970703,123.25310516357422,120.81279754638672,8.085308074951172
2015-02-11,27.76813507080078,36.04267120361328,26.67949104309082,18.756999969482422,0.4993007779121399,75.9792709350586,43.44462966918945,61.55047607421875,91.3731918334961,62.98872756958008,56.5739860534668,84.6509017944336,67.92362976074219,36.19499969482422,20.27141761779785,29.741466522216797,71.52965545654297,122.91549682617188,121.18964385986328,8.153289794921875
2015-02-12,28.119462966918945,36.646488189697266,27.07671356201172,18.85849952697754,0.5350506901741028,75.70121002197266,44.33778381347656,62.68898391723633,91.3648681640625,63.275577545166016,57.67923355102539,86.0705795288086,69.13978576660156,36.42484664916992,20.638370513916016,29.601072311401367,71.43699645996094,123.16558074951172,122.55208587646484,8.286235809326172
2015-02-13,28.25732421875,37.30984115600586,27.332101821899414,19.09149932861328,0.535290539264679,75.214599609375,44.41221618652344,62.39277267456055,91.03216552734375,63.179962158203125,58.303672790527344,85.86336517333984,70.33721923828125,37.06332015991211,20.502246856689453,29.474729537963867,70.62483978271484,122.6154556274414,123.30577087402344,8.32022476196289
2015-02-17,28.42409324645996,37.32696533203125,27.02712059020996,18.771499633789062,0.5369701385498047,75.07557678222656,44.732269287109375,62.679718017578125,91.29833984375,62.878414154052734,58.103851318359375,85.94778442382812,70.10023498535156,37.4911003112793,20.466732025146484,29.34837532043457,70.07624816894531,122.97381591796875,123.71161651611328,8.37460994720459
2015-02-18,28.621994018554688,37.28415298461914,26.91008758544922,18.668500900268555,0.5307322144508362,76.1778793334961,44.18891906738281,62.2747688293457,91.30663299560547,63.44475173950195,56.83002471923828,85.94011688232422,68.87783813476562,37.82310104370117,20.407543182373047,29.292219161987305,70.767333984375,122.72379302978516,123.68263244628906,8.308893203735352
2015-02-19,28.56195640563965,37.25845718383789,27.098529815673828,18.950000762939453,0.532171905040741,78.86907196044922,44.084720611572266,62.270137786865234,91.52291107177734,62.67246627807617,55.849639892578125,85.13435363769531,67.5743637084961,37.66986846923828,20.366117477416992,29.55895233154297,70.33272552490234,122.25699615478516,123.47970581054688,8.376876831054688
